'sigla','nome curso','local','modalidade'
'EQ-OSOF ','Estagio de Qualificaç?o em Operaç?es de Submarinos para Oficiais','CIAMA','PRS'
'EQ-TPD MK-48 MOD 6AT ','Estagio de Qualificaç?o em Torpedos MK-48 MOD 6AT','CIAMA','PRS'
'EOpMan-ASDS ','Estágio de operaç?o e manutenç?o do subsistema de Detecç?o acima d''água.','CIAMA','PRS'
'EOpMan-CMS ','Estágio de operaç?o e manutenç?o do sistema de Gerenciamento de combate.','CIAMA','PRS'
'EOpMan-IPMS ','Estágio De Operaç?o e Manutenç?o Do Ipms','CIAMA','PRS'
'EOpMan-PROPSBR ','Estágio de Operaç?o e Manutenç?o do Sistema da Propuls?o','CIAMA','PRS'
'EOpMan-Subsistema-de-Armas ','Estágio de Operaç?o e Manutenç?o do Subsistema de Armas','CIAMA','PRS'
'EOpMan-Subsistema-de-Comunicac?es ','Estágio de Operaç?o e Manutenç?o do Subsistema de Comunicaç?es','CIAMA','PRS'
'EOpMan-Subsistema-de-Navegaç?o ','Estágio de Operaç?o e Manutenç?o do Subsistema de Navegaç?o','CIAMA','PRS'
'EOpMan-UWS ','Estágio de Operaç?o e Manutenç?o do Subsistema de Detecç?o Abaixo D''água','CIAMA','PRS'
'EQ-SBR218-06-Final ','Estágio de Qualificaç?o em Submarinos da classe "Riachuelo"','CIAMA','PRS'
'C-Esp-EK-OF ','Curso Especial de Escafandria para Oficiais','CIAMA','PRS'
'C-Ap-MG ','Curso Aperfeiçoamento de Mergulho','CIAMA','PRS'
'C-Espc-MG ','Curso Especializaç?o de Mergulho','CIAMA','PRS'
'C-Exp-NATRES-A ','Curso Expedito de Nataç?o de Resgate A','CIAMA','PRS'
'C-Exp-NATRES-B ','Curso Expedito de Nataç?o de Resgate B','CIAMA','PRS'
'C-Esp-MAUT ','Curso Especial de Mergulhador Autônomo - Instruç?o para o aluno Hinos e Canç?es Ficha de Cadastro Fotos Instruç?es para o aluno Material Para Instruç?o','CIAMA','PRS'
'C-Exp-FOTOSUB ','Curso Expedito de Fotografia Submarina','CIAMA','PRS'
'EQ-ASM ','Estágio de Qualificaç?o para Agentes de Segurança de Mergulho','CIAMA','PRS'
'C-Esp-MGSAT ','Curso Especial de Mergulho Saturado','CIAMA','PRS'
'C-Esp-SUP-MGPROF ','Curso Especial de Supervis?o de Mergulho Profundo','CIAMA','PRS'
'C-Exp-MAUT-POL ','Curso Expedito de Mergulho Autônomo Polar','CIAMA','PRS'
